"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2"
1.0000,25.6273,24.6023,24.6425,24.3544,23.7578,23.7499,23.5951,25.8750,24.8728,26.4150,25.6356,26.2077,25.0265,24.4398,24.0031,23.9796,24.1107,24.4305,25.0689,24.3065,24.0114,23.2927,23.6152,24.1915,23.8218,24.1636,24.2398,24.5575,26.8893,24.5741,24.7379,24.8003,26.8551,25.4312,25.3758,25.9476,24.8035,24.7790,24.7999,25.6911,26.9569,24.7724,25.6973,27.0710,27.2009,24.4946,26.6900,26.6706,23.7551,26.2753,25.5958,25.4467,26.9494,26.0430,26.6008,25.6436,24.7906,26.0952,24.1207,24.9652,26.2493,26.2930,26.0572,26.0942,26.3667,26.1299,26.1458,26.7918,26.2997,26.2988,27.5584,26.4379,25.4036,26.2542,24.7471,24.2591,24.4549,26.9412,26.3488,24.6553,24.4919,24.5416,24.8099,24.8325,24.9327,24.9201,25.0100,24.9850,24.7399,25.8564,24.9225,24.7989,24.7743,24.6233,24.4724,24.8706,25.0407,24.5064,0.0000,25.6138,25.8920,24.8689,24.2813,25.2479,25.0769,25.1079,25.7692,26.1161,26.1957,24.4011,25.1424,27.4026,26.2588,25.2581,23.5341,22.8857,25.2051,25.0415,24.7662,25.6592,26.4449,24.8707,24.9104,24.4914,24.3374,24.5825,26.3822,26.0539,24.1450,24.1513,24.3658,23.9735,22.9503,25.4218,24.7372,24.5109,24.8643,24.9321,24.9673,24.5929,23.2244,23.4176,24.3358,24.1703,26.4388,24.1633,24.3417,24.0865,26.0432,26.1122,26.8535,27.0281,26.3794,24.6982,25.6876,23.6174,24.3895,24.1645,24.6924,24.6993,26.1069,0.0000,25.5151,24.3583,25.6207,25.7726,24.7159,24.6998,26.4619,25.4850,25.2377,24.2410,22.4253,25.1368,22.4530,24.4516,24.5140,25.9339,28.2292,28.3431,26.8538,25.5487,24.0420,26.0635,25.9976,26.1748,23.0593,26.2660,23.6115,24.1031,24.1638,27.0413,28.0540,23.8847,26.6347,26.8041,26.8112,26.6842,26.3172,26.8000,26.6838,26.8351,26.8137,26.7924,26.3789,25.2319,24.4724,24.6994,0.0000,23.3640,24.8763,23.3639,24.4080,24.4378,24.7500,24.8367,25.1517,26.9479,24.7377,24.8253,25.0680,24.8465,23.0115,24.6677,24.7610,24.1726,23.0114
2.0000,25.7152,24.6406,24.6829,24.3823,23.7682,23.7924,23.6323,26.1196,24.8883,26.5187,25.6841,26.2785,25.0551,24.4398,24.0575,23.9904,24.2612,24.5833,25.0308,24.3592,24.0433,23.3214,23.6456,24.2195,23.8675,24.2096,24.2878,24.5748,26.8939,24.6111,24.7765,24.8491,26.8554,25.5165,25.4583,26.0077,24.8132,24.8409,24.8139,25.7805,27.0778,24.8502,25.7484,27.1947,27.2066,24.5007,26.6338,26.6095,23.7701,26.2236,25.5409,25.4520,26.9127,25.9907,26.5865,25.6492,24.6160,26.0408,24.1225,24.8319,26.2011,26.2425,26.0047,26.0420,26.3236,26.0855,26.1010,26.7409,26.2593,26.2658,27.5136,26.3931,25.3101,26.2058,24.7445,24.2837,24.5493,26.9416,26.3978,24.7131,24.5164,24.6995,24.8197,24.8416,24.9442,24.9480,25.0315,25.0048,24.7596,26.0123,24.9421,24.8142,24.7949,24.6414,24.4928,24.9590,25.1368,24.5222,0.0000,25.6614,25.9471,24.8831,24.3111,25.3286,25.0453,25.0814,25.7324,26.0724,26.1484,24.3987,25.1663,27.3576,26.3106,25.2806,23.5700,22.9146,25.2270,25.1134,24.7891,25.6653,26.3932,24.8874,24.9233,24.5241,24.3413,24.5872,26.4806,26.0130,24.1467,24.1530,24.4149,23.9735,22.9943,25.5452,24.7838,24.5093,24.8786,24.9501,24.9854,24.6017,23.2695,23.4610,24.3484,24.1827,26.3875,24.1992,24.3435,24.0932,26.0010,26.0680,27.0345,27.2151,26.5484,24.7364,25.7134,23.6106,24.4712,24.2280,24.7126,24.7240,26.0657,0.0000,25.4740,24.3861,25.5659,25.7188,24.7409,24.7223,26.5379,25.5098,25.2628,24.1767,22.3696,25.0989,22.3970,24.4104,24.5232,26.0357,28.4394,28.5675,26.8528,25.6813,24.0508,26.0097,25.9446,26.1238,23.0042,26.2226,23.6489,24.1452,24.2097,27.1844,28.2558,23.9304,26.5638,26.7495,26.7567,26.6293,26.2641,26.7454,26.6329,26.7842,26.7592,26.7346,26.3323,25.2570,24.4928,24.7242,0.0000,23.5008,24.8918,23.5007,24.4193,24.4494,24.7701,24.6444,25.1126,26.9482,24.7763,24.7803,25.0356,24.8043,23.1419,24.6765,24.6305,24.2659,23.1418
3.0000,25.7310,24.6658,24.7073,24.3935,23.8435,23.7977,23.6379,25.9319,24.9195,26.4460,25.6665,26.2203,25.0838,24.4398,24.0501,24.0518,24.2192,24.5493,25.0059,24.3691,24.0539,23.3449,23.6643,24.2284,23.8709,24.2112,24.2888,24.5695,26.8845,24.6360,24.7992,24.8663,26.8441,25.5270,25.4678,25.9778,24.8447,24.8372,24.8449,25.7978,27.1251,24.8127,25.7277,27.2447,27.2008,24.4776,26.6144,26.5872,23.7730,26.2069,25.5241,25.4341,26.8971,25.9700,26.5697,25.6323,24.6440,26.0268,24.1015,24.7511,26.1871,26.2286,25.9901,26.0273,26.3141,26.0714,26.0870,26.7306,26.2532,26.2656,27.4978,26.3766,25.2580,26.1919,24.7221,24.3085,24.5449,26.9344,26.3695,24.6991,24.5362,24.6583,24.8514,24.8735,24.9767,24.9820,25.0645,25.0381,24.7926,25.9084,24.9620,24.8455,24.8182,24.6615,24.5147,24.9145,25.0847,24.5137,0.0000,25.6462,25.9220,24.9171,24.3217,25.3405,25.0268,25.0679,25.7184,26.0584,26.1342,24.5961,25.1884,27.3422,26.2816,25.3005,23.5785,22.9417,25.2832,25.1278,24.8114,25.6479,26.3790,24.9201,24.9564,24.5491,24.3191,24.6005,26.4102,25.9991,24.1256,24.1319,24.4316,23.9735,22.9977,25.4693,24.8061,24.5205,24.9118,24.9839,25.0205,24.5765,23.2731,23.4655,24.3422,24.1469,26.3727,24.1727,24.3445,24.0949,25.9873,26.0540,26.9510,27.1275,26.4552,24.7596,25.7325,23.6172,24.4603,24.2196,24.7332,24.7440,26.0515,0.0000,25.4338,24.3974,25.5492,25.7029,24.7611,24.7420,26.4883,25.5300,25.2861,24.1534,22.3593,25.0721,22.3861,24.4531,24.5204,26.0461,28.4240,28.5415,26.8405,25.5974,24.1321,25.9954,25.9298,26.1098,23.0092,26.2124,23.6554,24.1493,24.2113,27.1891,28.2425,23.9356,26.5530,26.7298,26.7371,26.6146,26.2499,26.7258,26.6218,26.7739,26.7396,26.7160,26.3165,25.2802,24.5147,24.7442,0.0000,23.4512,24.9231,23.4511,24.4200,24.4538,24.7922,24.6083,25.0870,26.9389,24.7990,24.7523,25.0163,24.7773,23.0888,24.6961,24.5483,24.2480,23.0888
4.0000,25.7669,24.6414,24.6852,24.3726,23.7612,23.9050,23.7472,25.8750,24.8796,26.3575,25.5710,26.1235,25.0446,24.4398,24.0413,23.9881,24.2189,24.5459,24.9526,24.3594,24.0807,23.3636,23.6838,24.2330,24.0066,24.3645,24.4448,24.5617,26.7859,24.6112,24.7709,24.8460,26.7425,25.5657,25.5031,25.8827,24.8035,24.8595,24.7977,25.8340,27.1662,24.3529,25.6520,27.2862,27.1017,24.4499,26.5781,26.5497,23.7624,26.1628,25.4787,25.4006,26.8582,25.9379,26.5323,25.5953,24.6091,25.9845,24.0772,24.7685,26.1544,26.1961,25.9481,25.9850,26.2925,26.0399,26.0554,26.6947,26.2229,26.2371,27.4613,26.3477,25.2464,26.1591,24.7006,24.2788,24.5270,26.8360,26.2725,24.6811,24.5027,24.6578,24.8102,24.8320,24.9367,24.9415,25.0258,24.9988,24.7518,25.7893,24.9221,24.7957,24.7740,24.6230,24.4794,24.5825,24.8863,24.5054,0.0000,25.5539,25.8273,24.8699,24.3273,25.4019,24.9856,25.0302,25.6846,26.0265,26.1017,24.4003,25.1510,27.3059,26.1862,25.2649,23.6803,22.9808,25.2364,25.2371,24.7763,25.6112,26.3449,24.8705,24.9039,24.5223,24.2930,24.5785,26.3204,25.9672,24.1013,24.1076,24.4032,23.9735,23.3501,25.3070,24.7808,24.4955,24.8696,24.9359,24.9728,24.5474,23.3800,23.5722,24.3207,24.1256,26.3380,24.1727,24.3275,24.0820,25.9555,26.0223,26.7967,26.9610,26.3179,24.7321,25.6971,23.6069,24.4535,24.2118,24.6943,24.7102,26.0197,0.0000,25.3753,24.3759,25.5040,25.6588,24.7269,24.7079,26.3921,25.4939,25.2494,24.1000,22.3207,25.0177,22.3469,24.4495,24.5161,26.0685,28.3379,28.4160,26.7379,25.4474,24.0491,25.9531,25.8872,26.0706,22.9825,26.1837,23.7633,24.2808,24.3638,27.1753,28.1688,24.0716,26.5306,26.6941,26.7015,26.5793,26.2145,26.6901,26.5864,26.7379,26.7039,26.6839,26.2749,25.2434,24.4793,24.7103,0.0000,23.4456,24.8833,23.4455,24.3961,24.4288,24.7510,24.6048,25.0299,26.8377,24.7706,24.6970,24.9748,24.7225,23.0807,24.6663,24.5663,24.2413,23.0807
5.0000,25.7280,24.6455,24.6896,24.3733,23.7536,23.8997,23.7441,25.8463,24.8930,26.3286,25.5450,26.0927,25.0387,24.6241,24.0254,23.9844,24.1785,24.5090,24.9323,24.3681,24.0790,23.3707,23.6874,24.2316,24.0012,24.3551,24.4353,24.6885,26.7585,24.6151,24.7767,24.8534,26.7137,25.5360,25.4740,25.8541,24.8184,24.8556,24.8181,25.7927,27.0775,24.1905,25.6308,27.1933,27.0754,24.4226,26.5444,26.5164,23.7566,26.1075,25.4206,25.3589,26.7993,25.9139,26.4796,25.5498,24.6043,25.9280,24.0539,24.7884,26.1208,26.1629,25.8977,25.9341,26.2487,26.0075,26.0232,26.6603,26.1876,26.2007,27.4212,26.3083,25.2452,26.1256,24.6809,24.2794,24.5033,26.8089,26.2441,24.6901,24.5075,24.6160,24.8251,24.8455,24.9492,24.9538,25.0398,25.0127,24.7645,25.7408,24.9277,24.8109,24.7815,24.6265,24.4818,24.4636,24.8174,24.6358,0.0000,25.5309,25.8004,24.8862,24.3256,25.3769,24.9636,25.0103,25.6561,25.9939,26.0683,24.4021,25.1574,27.2661,26.1582,25.2710,23.6731,22.9877,25.2096,25.2212,24.7829,25.5627,26.3096,24.8867,24.9226,24.5245,24.2676,24.6924,26.2912,25.9351,24.0780,24.0843,24.3959,23.9735,23.3501,25.2470,24.7877,24.6218,24.8852,24.9522,24.9892,24.5193,23.3707,23.5652,24.3212,24.1261,26.3024,24.1727,24.3248,24.0785,25.9238,25.9901,26.7103,26.8703,26.2495,24.7375,25.7010,23.6014,24.4346,24.1947,24.7004,24.7151,25.9868,0.0000,25.3584,24.3768,25.4463,25.6026,24.7313,24.7108,26.3598,25.4994,25.2560,24.0392,22.2580,24.9963,22.2844,24.3341,24.6691,26.0265,28.2349,28.3120,26.7086,25.3905,24.0462,25.8991,25.8342,26.0305,22.9059,26.1474,23.7597,24.2742,24.3544,27.1061,28.0708,24.0610,26.4994,26.6608,26.6679,26.5446,26.1751,26.6568,26.5510,26.7035,26.6704,26.6494,26.2418,25.2500,24.4818,24.7152,0.0000,23.4016,24.8967,23.4015,24.3968,24.4301,24.7568,24.5657,25.0126,26.8098,24.7765,24.6775,24.9523,24.7017,23.0351,24.7471,24.5925,24.2172,23.0350
6.0000,25.6757,24.6282,24.6721,24.3690,23.7590,23.8868,23.7353,25.7776,24.8786,26.2549,25.4943,26.0205,25.0163,24.5899,24.0180,23.9795,24.1719,24.5006,24.9068,24.3479,24.0700,23.3678,23.6825,24.2228,23.9868,24.3382,24.4169,24.6515,26.6828,24.5978,24.7601,24.8361,26.6317,25.4831,25.4245,25.7940,24.8035,24.8199,24.7987,25.7397,27.0098,24.1416,25.5783,27.1242,26.9859,24.3849,26.5057,26.4796,23.7511,26.0186,25.3499,25.2987,27.0492,25.9236,26.3872,25.4838,24.5854,25.8623,24.0210,24.9322,26.0893,26.1311,25.8390,25.8742,26.2831,25.9831,26.0145,26.6235,26.1507,26.1603,27.2995,26.2791,25.3239,26.0941,24.6561,24.2618,24.4912,26.7330,26.1773,24.6542,24.4931,24.6081,24.8103,24.8314,24.9356,24.9407,25.0255,24.9985,24.7511,25.6782,24.9061,24.7911,24.7615,24.6075,24.4634,24.4174,24.7689,24.5963,0.0000,25.4814,25.7428,24.8666,24.3156,25.3280,24.9380,24.9865,25.6304,25.9661,26.0379,24.4009,25.1345,27.1735,26.0930,25.2453,23.6666,22.9823,25.1884,25.1803,24.7684,25.4943,26.2718,24.8660,24.8996,24.5069,24.2323,24.6615,26.2178,25.9084,24.0454,24.0517,24.3801,23.9735,23.3501,25.1927,24.7721,24.5781,24.8697,24.9322,24.9698,24.4816,23.3590,23.5529,24.3087,24.1137,26.2645,24.1857,24.3152,24.0713,25.8978,25.9656,26.6294,26.7856,26.1773,24.7207,25.6765,23.6041,24.4163,24.1833,24.6823,24.7005,25.9604,0.0000,25.3380,24.3725,25.3760,25.5360,24.7163,24.6955,26.2881,25.4758,25.2333,23.9701,22.1773,24.9719,22.2046,24.1397,24.6332,25.9658,28.1335,28.1988,26.6266,25.3341,24.0418,25.8360,25.7721,25.9857,22.7879,26.1519,23.7507,24.2611,24.3376,27.0236,27.9755,24.0472,26.4590,26.6204,26.6275,26.5054,26.1302,26.6164,26.5140,26.6666,26.6300,26.6069,26.2107,25.2273,24.4634,24.7006,0.0000,23.3989,24.8823,23.3988,24.3839,24.4169,24.7370,24.5541,24.9875,26.7303,24.7598,24.6532,24.9264,24.6759,23.0343,24.7222,24.7341,24.2094,23.0342
7.0000,25.6752,24.6188,24.6627,24.3601,23.7548,23.8806,23.7301,25.7402,24.8776,26.2114,25.4725,25.9818,24.9995,24.5800,24.0134,23.9732,24.1643,24.4918,24.8944,24.3384,24.0647,23.3659,23.6802,24.2165,23.9820,24.3346,24.4120,24.6392,26.6484,24.5885,24.7494,24.8232,26.5899,25.4756,25.4182,25.7663,24.8035,24.8072,24.7925,25.7403,27.0338,24.1220,25.5564,27.1503,26.9388,24.3712,26.4453,26.4177,23.7475,25.9836,25.3074,25.2745,27.0423,25.9209,26.3571,25.4560,24.5803,25.8238,24.0083,25.0584,26.0598,26.0989,25.8013,25.8355,26.2508,25.9631,25.9962,26.5828,26.1170,26.1269,27.2774,26.2303,25.3956,26.0646,24.6458,24.2520,24.4824,26.6994,26.1444,24.6408,24.4849,24.5972,24.8101,24.8297,24.9365,24.9398,25.0268,24.9993,24.7498,25.6451,24.8945,24.7839,24.7524,24.5974,24.4533,24.3983,24.7480,24.5827,0.0000,25.4596,25.7164,24.8591,24.3092,25.3197,24.9229,24.9718,25.6114,25.9426,26.0105,24.4018,25.1204,27.1515,26.0613,25.2327,23.6652,22.9768,25.1717,25.1696,24.7617,25.4667,26.2308,24.8589,24.8930,24.4974,24.2192,24.6535,26.1750,25.8875,24.0328,24.0391,24.3697,23.9735,23.3501,25.1664,24.7609,24.5707,24.8664,24.9260,24.9639,24.4687,23.3451,23.5435,24.3018,24.1068,26.2237,24.1727,24.3098,24.0671,25.8765,25.9455,26.5802,26.7334,26.1358,24.7103,25.6482,23.6013,24.4079,24.1770,24.6736,24.6923,25.9402,0.0000,25.3149,24.3636,25.3338,25.4956,24.7078,24.6870,26.2476,25.4533,25.2171,23.9133,22.1137,24.9581,22.1414,24.0002,24.6218,25.9483,28.0474,28.1165,26.5841,25.3059,24.0365,25.7974,25.7336,25.9520,22.6885,26.1284,23.7458,24.2568,24.3340,26.9852,27.8945,24.0478,26.3981,26.5574,26.5651,26.4537,26.0892,26.5536,26.4726,26.6258,26.5674,26.5368,26.1717,25.2112,24.4533,24.6925,0.0000,23.3962,24.8814,23.3961,24.3770,24.4100,24.7270,24.5450,24.9754,26.6890,24.7491,24.6421,24.9110,24.6639,23.0338,24.7146,24.8563,24.2031,23.0337
8.0000,25.5286,24.6198,24.6609,24.3732,23.8286,23.7143,23.5642,25.7006,24.8790,26.1604,25.4408,25.9379,25.0084,24.4398,24.0661,24.0559,24.2048,24.5328,24.9465,24.3267,24.0171,23.3256,23.6400,24.2032,23.7716,24.1146,24.1892,24.5110,26.5712,24.5903,24.7551,24.8234,26.5082,25.3212,25.2682,25.7311,24.8035,24.6598,24.7964,25.5943,26.9007,24.1030,25.5191,27.0184,26.8525,24.4440,26.5857,26.5619,23.8022,26.0730,25.3949,25.3592,27.1445,26.0202,26.4538,25.5460,24.5932,25.9203,24.0777,25.1991,26.1588,26.2016,25.8974,25.9331,26.3518,26.0461,26.0818,26.6906,26.2148,26.2195,27.3700,26.3413,25.5337,26.1636,24.7134,24.2602,24.5068,26.6200,26.0922,24.5174,24.4949,24.6362,24.8102,24.8318,24.9375,24.9434,25.0260,24.9995,24.7528,25.6097,24.9045,24.7939,24.7610,24.6107,24.4648,24.3868,24.7270,24.4566,0.0000,25.4308,25.6807,24.8651,24.2942,25.1511,24.9762,25.0258,25.6847,26.0312,26.1069,24.5610,25.1290,27.2435,26.0124,25.2415,23.5042,22.9061,25.2065,24.9725,24.7702,25.5597,26.3445,24.8681,24.9010,24.5020,24.2904,24.5765,26.1252,25.9696,24.1022,24.1085,24.3839,24.0439,22.9022,25.1398,24.7650,24.4880,24.8691,24.9345,24.9730,24.5422,23.1895,23.3825,24.3259,24.1308,26.3375,24.1903,24.3584,24.1200,25.9601,26.0283,26.5397,26.6969,26.0977,24.7151,25.6534,23.6611,24.4595,24.2301,24.6850,24.7023,26.0216,0.0000,25.3631,24.3772,25.4217,25.5858,24.7179,24.6950,26.1942,25.4600,25.2251,23.9895,22.1808,25.0101,22.2088,24.0494,24.4881,25.8019,27.9778,28.0588,26.5021,25.2770,24.1305,25.8937,25.8284,26.0501,22.7495,26.2190,23.5815,24.0631,24.1149,26.8619,27.8202,23.8370,26.5321,26.7020,26.7090,26.5851,26.2031,26.6979,26.5818,26.7338,26.7115,26.6892,26.2920,25.2192,24.4648,24.7025,0.0000,23.4380,24.8828,23.4379,24.4045,24.4388,24.7374,24.5865,25.0268,26.6088,24.7548,24.6937,24.9642,24.7157,23.0762,24.6654,24.9943,24.2512,23.0761
9.0000,25.5217,24.5789,24.6192,24.3478,23.7569,23.6992,23.5481,25.6846,24.8748,26.1288,25.4060,25.9096,24.9999,24.4398,24.0241,23.9823,24.1577,24.4873,24.9156,24.2983,23.9910,23.3011,23.6147,24.1729,23.7588,24.1050,24.1791,24.5050,26.5122,24.5502,24.7317,24.8022,26.4443,25.3141,25.2612,25.6989,24.8035,24.6522,24.7745,25.5876,26.8969,24.0994,25.4810,27.0148,26.7888,24.4308,26.5626,26.5352,23.7631,26.0772,25.4082,25.3485,27.1147,25.9944,26.4351,25.5338,24.5487,25.9237,24.0637,25.1643,26.1320,26.1745,25.8950,25.9302,26.3174,26.0176,26.0523,26.6715,26.1986,26.2109,27.3455,26.3368,25.5250,26.1366,24.6985,24.2141,24.4633,26.5599,26.0501,24.5111,24.5764,24.5918,24.8101,24.8327,24.9313,24.9376,25.0133,24.9891,24.7503,25.5951,24.8741,24.7667,24.7343,24.5803,24.4290,24.3913,24.7270,24.4492,0.0000,25.3978,25.6470,24.8458,24.2633,25.1449,24.9414,24.9919,25.6546,26.0031,26.0794,24.4013,25.0970,27.2188,25.9722,25.2106,23.4908,22.8850,25.1626,24.9680,24.7628,25.5479,26.3206,24.8416,24.8769,24.4596,24.2769,24.5660,26.0941,25.9413,24.0882,24.0945,24.3390,24.0063,22.8899,25.1327,24.7432,24.4753,24.8632,24.9085,24.9480,24.5294,23.1809,23.3701,24.2812,24.0600,26.3134,24.1653,24.3218,24.0824,25.9317,25.9996,26.5262,26.6829,26.0837,24.6876,25.6103,23.6207,24.4158,24.1871,24.6595,24.6941,25.9932,0.0000,25.3443,24.3520,25.4344,25.5939,24.7096,24.6921,26.1517,25.4209,25.1915,24.0326,22.2249,24.9811,22.2527,24.1684,24.4843,25.7957,27.9720,28.0532,26.4380,25.2676,24.0442,25.8950,25.8296,26.0360,22.8211,26.1868,23.5657,24.0503,24.1051,26.8580,27.8131,23.8247,26.5022,26.6798,26.6870,26.5642,26.1800,26.6757,26.5600,26.7147,26.6894,26.6655,26.2729,25.1858,24.4289,24.6943,0.0000,23.3943,24.8783,23.3942,24.3654,24.4024,24.7087,24.5397,24.9954,26.5455,24.7314,24.6599,24.9290,24.6842,23.0341,24.6516,24.9619,24.2078,23.0340
10.0000,25.5083,24.6090,24.6494,24.3582,23.7574,23.7041,23.5548,25.6973,24.8762,26.1421,25.4306,25.9256,25.0025,24.4398,24.0559,23.9961,24.2197,24.5388,24.9369,24.3365,24.0035,23.3146,23.6277,24.1881,23.7620,24.1049,24.1788,24.5091,26.5344,24.5808,24.7518,24.8266,26.4657,25.3020,25.2509,25.7207,24.8035,24.6516,24.7818,25.5734,26.8649,24.1031,25.5096,26.9813,26.8128,24.4588,26.5993,26.5693,23.7845,26.1321,25.4703,25.3762,27.1482,26.0473,26.4729,25.5609,24.5970,25.9780,24.0913,25.3013,26.1741,26.2167,25.9486,25.9843,26.3382,26.0563,26.0915,26.7101,26.2474,26.2650,27.3871,26.3821,25.6430,26.1781,24.7273,24.2563,24.5099,26.5824,26.0698,24.5122,24.5764,24.6421,24.8100,24.8321,24.9325,24.9385,25.0140,24.9896,24.7505,25.6035,24.8883,24.7763,24.7489,24.6011,24.4573,24.3876,24.7270,24.4546,0.0000,25.4201,25.6689,24.8521,24.2809,25.1339,24.9646,25.0166,25.6883,26.0428,26.1211,24.4012,25.1076,27.2608,25.9925,25.2194,23.4969,22.8977,25.1601,24.9592,24.7719,25.5757,26.3624,24.8504,24.8838,24.4945,24.3049,24.5677,26.1078,25.9791,24.1158,24.1221,24.3832,24.0273,22.8930,25.1373,24.7644,24.4706,24.8644,24.9161,24.9546,24.5580,23.1803,23.3727,24.2987,24.0774,26.3545,24.1727,24.3425,24.1034,25.9702,26.0381,26.5336,26.6910,26.0916,24.7103,25.6133,23.6342,24.4599,24.2234,24.6751,24.7052,26.0310,0.0000,25.3631,24.3623,25.4960,25.6528,24.7205,24.7015,26.1676,25.4269,25.2007,24.1250,22.3143,25.0021,22.3420,24.3357,24.4870,25.7856,27.9770,28.0549,26.4592,25.2735,24.0560,25.9494,25.8847,26.0840,22.9408,26.2191,23.5722,24.0534,24.1049,26.8555,27.8176,23.8270,26.5499,26.7168,26.7234,26.6042,26.2239,26.7127,26.6003,26.7534,26.7260,26.7048,26.3173,25.1950,24.4573,24.7054,0.0000,23.4753,24.8797,23.4752,24.3832,24.4205,24.7254,24.5907,25.0193,26.5677,24.7515,24.6785,24.9519,24.7046,23.1238,24.6562,25.1021,24.2473,23.1238
