"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,26.4924,25.1142,25.1696,24.8870,24.2721,24.1328,23.9755,26.6065,25.5396,27.4129,26.4494,27.1067,25.7780,25.0269,24.5942,24.3730,25.6909,25.5789,26.0574,24.9055,24.4884,23.9932,24.2002,24.6573,24.1410,24.4197,24.4819,25.2507,28.0471,25.0743,25.3257,25.4099,28.0811,26.2706,26.2111,26.8255,25.5142,25.5149,25.4673,26.5642,27.9919,25.6052,26.5077,28.1205,28.4174,25.6229,28.0172,27.9451,24.1392,29.3634,29.4679,26.6294,28.3634,27.5355,27.9484,26.8352,25.4358,29.1860,25.2513,27.1882,27.6009,27.6397,28.8931,28.9553,27.2577,27.5468,27.5442,28.1697,27.7847,27.8591,29.1041,27.9778,27.2716,27.6063,26.0064,24.6314,25.2546,28.1036,27.3408,25.2439,24.9493,25.7327,25.5218,25.5389,25.5926,25.6190,25.5827,25.5466,25.4429,26.7027,25.6267,25.4460,25.4439,25.1422,24.9380,25.7537,25.9030,25.3471,0.0000,26.4417,26.7721,25.5504,24.6739,25.9819,26.0716,26.0627,26.9030,27.2820,27.5105,24.8405,25.7638,28.9899,27.2321,25.9778,23.9706,23.8350,27.1076,25.5785,25.3607,26.8569,27.8416,25.5371,25.5680,24.9538,25.4801,25.5144,27.3867,27.2161,25.2827,25.2893,24.8970,24.4746,22.7258,26.2820,25.3104,25.6041,25.5748,25.6126,25.6565,25.7333,23.6453,23.8532,25.1554,25.1557,27.8389,24.6563,24.9933,24.6307,27.2038,27.5222,27.6375,27.8187,27.1930,25.2648,26.1894,24.0284,24.9900,24.7628,25.3544,25.2734,27.2395,0.0000,26.5306,24.8919,29.4422,29.2719,25.2992,25.2770,27.4683,25.9097,25.6344,30.4805,0.6006,26.1310,0.6006,0.6587,25.1611,26.7896,29.1404,29.2371,28.1202,26.4062,24.4424,29.0822,29.0442,28.2586,0.6186,27.5103,24.0148,24.4701,24.4232,27.9347,28.9577,24.1986,27.9837,28.1868,28.1961,28.0806,27.7878,28.1820,28.0848,28.2153,28.1982,28.1703,27.7432,25.6267,24.9384,25.2736,0.0000,25.6223,25.3987,25.6223,25.2081,25.2765,25.3831,25.5424,25.9603,28.1963,25.3255,25.8814,26.0714,25.9273,25.4865,25.3059,26.8697,24.9836,25.4864,24.4791
2.0000,28.3460,26.7985,26.8593,26.5518,25.8845,25.7588,25.5794,28.4491,27.2583,29.3233,28.2511,28.9723,27.5178,26.7119,26.2081,25.9789,27.3715,27.2574,27.7089,26.6103,26.1278,25.5948,25.8191,26.3036,25.7731,26.0769,26.1469,26.9540,30.0240,26.7545,27.0308,27.1323,30.0663,28.1078,28.0379,28.6639,27.2299,27.2628,27.1707,28.4251,29.9979,27.3586,28.3128,30.1396,30.4285,27.2905,29.7146,29.6382,25.7216,31.1712,31.2743,28.3784,30.1291,29.1976,29.7393,28.6027,27.1118,30.9749,26.8844,28.6048,29.2809,29.3204,30.6604,30.7251,28.9458,29.2416,29.2355,29.8838,29.4757,29.5544,30.9072,29.6650,28.8053,29.2866,27.6721,26.2662,26.9217,30.0868,29.2388,26.9573,26.6203,27.4177,27.2384,27.2579,27.3160,27.3456,27.3073,27.2675,27.1567,28.5405,27.3377,27.1451,27.1430,26.8039,26.5875,27.5217,27.6752,27.0532,0.0000,28.2432,28.6064,27.2632,26.3213,27.7932,27.7258,27.7191,28.5765,28.9583,29.1862,26.4760,27.4886,30.7830,29.1178,27.7199,25.5613,25.4194,28.9528,27.3498,27.0609,28.6265,29.5320,27.2433,27.2731,26.6212,27.1327,27.2233,29.2933,28.8955,26.9173,26.9243,26.5481,26.0637,24.2623,28.0811,27.0147,27.3236,27.2953,27.3247,27.3712,27.4116,25.2360,25.4593,26.8332,26.8335,29.5298,26.3057,26.6056,26.2299,28.8841,29.2160,29.5680,29.7656,29.0793,26.9638,27.9559,25.5969,26.6402,26.3917,27.0457,26.9661,28.9197,0.0000,28.2168,26.5571,31.2468,31.0669,26.9944,26.9692,29.3812,27.6470,27.3462,32.3435,0.6006,27.7893,0.6006,0.6640,26.8569,28.6722,31.2347,31.3304,30.1085,28.2156,26.0527,30.8626,30.8228,29.9819,0.6206,29.2062,25.6207,26.1187,26.0803,29.9231,31.0364,25.8381,29.6758,29.8938,29.9038,29.7801,29.4731,29.8888,29.7935,29.9321,29.9060,29.8764,29.4134,27.3377,26.5880,26.9663,0.0000,27.2821,27.1089,27.2821,26.8894,26.9630,27.0728,27.2240,27.6197,30.1896,27.0305,27.5162,27.7257,27.5572,27.1364,27.0025,28.2722,26.6230,27.1363,26.1361
3.0000,36.7581,34.6705,34.7510,34.3520,33.4840,33.3412,33.0998,36.8982,35.2795,38.0363,36.6102,37.5463,35.6230,34.5997,33.8633,33.5868,35.3384,35.1918,35.7452,34.4492,33.8087,33.1327,33.4188,34.0279,33.3641,33.7498,33.8422,34.9183,38.9751,34.6123,34.9722,35.1045,39.0344,36.4457,36.3504,37.1578,35.2435,35.3146,35.1642,36.8628,38.9453,35.4656,36.6933,39.1330,39.5027,35.2399,38.3175,38.2192,33.2417,40.2076,40.3461,36.6421,38.8560,37.5902,38.3802,36.9323,35.0290,39.9608,34.7144,36.5008,37.7791,37.8263,39.5561,39.6400,37.3300,37.7133,37.6963,38.5473,37.9349,38.0045,39.8662,38.1531,36.8591,37.7864,35.7276,33.9707,34.7882,39.0594,37.9231,34.9256,34.4423,35.3656,35.2547,35.2801,35.3553,35.3952,35.3394,35.2898,35.1501,37.0095,35.3693,35.1288,35.1215,34.6616,34.3835,35.6767,35.8755,35.0476,0.0000,36.5984,37.0817,35.2822,34.0482,36.0336,35.7847,35.7857,36.8799,37.3670,37.6610,34.2530,35.5696,39.7036,37.7621,35.8744,33.0704,32.9092,37.4802,35.4500,35.0147,36.9616,38.0821,35.2624,35.3014,34.4367,35.0353,35.2569,37.9943,37.2878,34.7567,34.7657,34.3272,33.6731,31.4082,36.4072,34.9539,35.4308,35.3291,35.3760,35.4444,35.3967,32.6656,32.9540,34.7150,34.7154,38.0798,34.0337,34.3656,33.8878,37.2667,37.6814,38.3789,38.6415,37.7276,34.8849,36.1670,33.0734,34.4353,34.1062,34.9915,34.8897,37.3190,0.0000,36.3880,34.3589,40.3107,40.0787,34.9274,34.8955,38.1081,35.7672,35.3805,41.7178,0.6006,35.8457,0.6006,0.6670,34.7907,37.1963,40.6190,40.7465,39.0893,36.5834,33.6856,39.8165,39.7649,38.6827,0.6216,37.6628,33.1536,33.8010,33.7541,38.8611,40.3542,33.4479,38.2691,38.5479,38.5610,38.4047,37.9751,38.5415,38.4273,38.6096,38.5638,38.5265,37.8940,35.3693,34.3841,34.8900,0.0000,35.2046,35.0771,35.2046,34.7881,34.8843,35.0233,35.1644,35.6333,39.1964,34.9719,35.4858,35.7846,35.5292,35.0100,34.9574,36.0731,34.3887,35.0099,33.8425
4.0000,46.3006,43.4726,43.5756,43.0743,41.9733,41.8785,41.6541,46.2720,44.2445,47.7348,45.9219,47.0771,44.6838,43.4068,42.4260,42.0934,44.2514,44.0827,44.6878,43.1597,42.4277,41.6786,41.9970,42.6802,41.9155,42.5202,42.6240,43.8045,49.0079,43.3976,43.8218,43.9926,49.1068,46.0397,45.7752,46.6037,44.2026,44.4093,44.1071,46.4355,49.1215,44.4780,46.0229,49.3636,49.7490,44.1152,47.9489,47.8250,41.6489,50.3122,50.4747,45.8910,48.6256,47.0346,48.0533,46.2585,43.8978,50.0051,43.4693,45.5060,47.2904,47.3495,49.5005,49.6063,46.7328,47.2062,47.1846,48.2316,47.5061,47.5995,49.8990,47.8560,46.0536,47.2996,44.7388,42.5950,43.6017,49.1194,47.6063,43.8171,43.1840,44.2883,44.2170,44.2495,44.3397,44.3914,44.3103,44.2477,44.0854,46.3581,44.3743,44.0611,44.0436,43.4560,43.1088,44.7409,44.9756,43.9639,0.0000,45.9141,46.5249,44.2621,42.7031,45.5193,44.7504,44.7824,46.1588,46.7761,47.1451,42.9525,44.6320,49.6951,47.4060,45.0287,41.6536,41.4133,47.0446,44.7852,43.9039,46.2939,47.6581,44.2302,44.2792,43.1802,43.8643,44.2410,47.6785,46.6732,43.5217,43.5331,43.0375,42.1736,39.4583,45.6250,43.7913,44.4909,44.3145,44.3758,44.4653,44.3010,41.0267,41.3909,43.5370,43.5374,47.6542,42.6751,43.0301,42.4425,46.6492,47.1661,47.6888,47.6888,47.0604,43.7190,45.4302,41.4485,43.1376,42.7296,43.8758,43.7450,46.7121,0.0000,45.4879,43.0829,50.4312,50.1452,43.7932,43.7482,47.8330,44.9039,44.3889,52.1593,0.6006,44.8149,0.6006,0.6694,43.6453,46.8635,50.4368,50.5585,49.1736,45.8398,42.2208,49.8249,49.7592,48.4146,0.6223,47.1481,41.7250,42.5619,42.5249,48.6715,50.1751,42.0221,47.9102,48.2384,48.2548,48.0598,47.5108,48.2305,48.0857,48.3096,48.2583,48.2120,47.4135,44.3743,43.1095,43.7453,0.0000,44.0457,43.9625,44.0458,43.6271,43.7417,43.9199,44.0612,44.5596,49.3052,43.8216,44.3500,44.7479,44.3953,43.7908,43.8508,44.9754,43.0812,43.7907,42.4979
5.0000,42.2985,43.4677,43.5729,43.0225,41.9340,40.9317,40.8552,46.9981,44.3098,48.4752,46.4924,47.7264,44.7396,43.9401,42.4114,42.0918,44.3050,44.1231,44.7836,43.1704,42.0384,41.2522,41.5953,42.4612,40.7587,41.3795,41.4581,44.4484,49.9198,43.3916,43.8218,43.9961,50.0232,42.4775,42.3699,47.2271,44.2791,42.2735,44.2157,42.4240,44.9238,45.1455,46.6594,45.1491,50.6952,44.1671,48.1584,48.0348,41.6112,50.4685,50.6805,45.9484,48.7390,47.1482,48.1213,46.3169,43.9347,50.2212,43.5047,45.5045,47.4835,47.5441,49.7083,49.8186,46.8622,47.3352,47.3111,48.4781,47.6953,47.7879,49.9797,48.0170,46.1148,47.4926,44.7620,42.6112,43.6436,50.0382,48.4438,44.8665,43.2114,44.3363,44.2939,44.3267,44.4086,44.4657,44.3627,44.2927,44.1616,47.1234,44.4727,44.1678,44.1478,43.5345,43.1646,45.4196,45.8363,44.6102,0.0000,46.4169,47.1215,44.3629,42.4736,42.4002,44.8665,44.8865,46.2991,46.9393,47.3356,43.0258,44.7315,49.7799,48.2133,45.1269,40.9101,40.8897,47.0464,42.5273,43.9391,46.3515,47.8661,44.3321,44.3751,43.1842,43.9084,44.3669,48.4109,46.8286,43.5571,43.5685,43.0633,42.1814,38.3694,46.4421,43.7870,44.6479,44.4006,44.4752,44.5574,44.3625,40.1019,40.4562,43.5288,43.5293,47.8624,42.6267,43.0692,42.4503,46.7896,47.2965,48.5080,48.5080,47.8542,43.7176,45.5472,41.3954,43.1444,42.7230,43.9580,43.7727,46.8681,0.0000,45.5586,43.0341,50.6374,50.3492,43.8223,43.7789,48.5695,45.0134,44.4875,52.3899,0.6006,44.9076,0.6006,0.6558,44.2400,43.2431,46.4648,51.4872,50.0893,46.6420,42.2304,50.0386,49.9674,48.6138,0.6185,47.2768,40.9262,41.5825,41.3891,44.9188,46.2393,40.8631,48.1189,48.4475,48.4640,48.2762,47.7241,48.4395,48.3193,48.5565,48.4675,48.4235,47.5970,44.4727,43.1653,43.7730,0.0000,44.1012,43.9773,44.1012,43.6422,43.7911,44.0138,44.1011,44.6408,50.2264,43.8216,44.4316,44.8658,44.4779,43.8393,44.1147,44.9643,43.0883,43.8392,44.1888
6.0000,35.9832,34.7078,34.7928,34.3593,33.4699,33.3323,33.1910,36.9949,35.3168,38.1944,36.6922,37.6084,35.6508,34.6587,33.8958,33.6315,35.3619,35.2264,35.7348,34.4804,33.8289,33.2563,33.5003,34.0475,33.3379,33.8090,33.8815,34.9713,39.2827,34.6468,34.9722,35.1062,39.3689,35.9273,35.7556,37.2480,35.2870,35.0416,35.2192,36.0861,38.1337,35.5382,36.7688,38.3182,39.9129,35.2993,38.4834,38.3847,33.2736,40.3270,40.4679,36.7369,38.9646,37.6598,38.4856,37.0362,35.0680,40.1051,34.7713,36.2655,37.9340,37.9842,39.6981,39.7851,37.4498,37.8255,37.8038,38.7382,38.1014,38.1748,39.9822,38.3457,36.7956,37.9414,35.7763,34.0071,34.8313,39.3781,38.0938,34.9588,34.2964,35.4024,35.2987,35.3232,35.3942,35.4379,35.3657,35.3177,35.1933,37.0525,35.4329,35.1827,35.1627,34.6962,34.4176,35.7504,35.9252,35.0961,0.0000,36.6874,37.1872,35.3458,34.0694,35.6423,35.8134,35.8345,36.9758,37.4968,37.8152,34.3035,35.6401,39.8195,37.9247,35.9588,33.2160,33.0349,37.5571,35.3105,35.0238,37.0645,38.2432,35.3210,35.3631,34.4747,35.0933,35.3441,38.1442,37.4033,34.8132,34.8223,34.3661,33.7091,31.3836,36.4538,34.9488,35.5758,35.3802,35.4408,35.5171,35.4529,32.6566,32.9451,34.7475,34.7479,38.2393,34.0408,34.4051,33.9241,37.3795,37.7936,38.1445,38.1445,37.6288,34.8933,36.2746,33.1198,34.4677,34.1411,35.0230,34.8918,37.4347,0.0000,36.3476,34.3661,40.4338,40.2056,34.9309,34.8909,38.2765,35.8577,35.4446,41.8002,0.6006,35.8329,0.6006,0.6676,34.8472,36.6222,39.5387,40.4902,39.4196,36.6290,33.7312,39.9601,39.9034,38.8313,0.6219,37.7785,33.2476,33.8781,33.8139,38.1463,39.3341,33.4266,38.4582,38.7153,38.7282,38.5720,38.1269,38.7088,38.6086,38.8008,38.7310,38.6951,38.0314,35.4329,34.4182,34.8920,0.0000,35.1737,35.0863,35.1737,34.8209,34.9133,35.0661,35.2035,35.6148,39.5295,34.9719,35.4439,35.8129,35.4813,34.9493,35.0142,35.8408,34.4220,34.9492,33.8336
7.0000,35.8756,34.6967,34.7828,34.3384,33.4431,33.2978,33.1551,37.0401,35.3076,38.3141,36.7470,37.6836,35.6055,34.6576,33.8320,33.5699,35.2937,35.1920,35.5748,34.4633,33.7956,33.2215,33.4667,34.0154,33.3025,33.7707,33.8454,34.9735,39.6748,34.6350,34.9722,35.1071,39.9544,35.8443,35.6698,37.3193,35.2772,34.9887,35.2079,35.9728,37.9049,35.5653,36.8232,38.0790,40.5064,35.1366,38.2818,38.1833,33.2007,40.0879,40.2214,36.5534,38.7498,37.4728,38.2789,36.8468,35.0361,39.8653,34.6223,36.0867,37.7379,37.7887,39.4677,39.5534,37.2479,37.6308,37.6096,38.5376,37.9014,37.9734,39.7692,38.1312,36.6199,37.7453,35.6334,33.9895,34.8051,39.7715,38.2747,34.9583,34.2842,35.4000,35.2889,35.3129,35.3848,35.4283,35.3588,35.3124,35.1834,37.0860,35.4117,35.1709,35.1491,34.6696,34.3942,35.7692,35.9435,35.0989,0.0000,36.7423,37.2661,35.3344,34.0372,35.5689,35.6592,35.6962,36.7930,37.3081,37.6202,34.2769,35.6179,39.6079,38.0842,35.9338,33.1647,32.9936,37.4877,35.2555,35.0121,36.8733,38.0444,35.3119,35.3545,34.4595,34.9368,35.3362,38.2600,37.2029,34.6640,34.6731,34.3461,33.6188,31.3502,36.4789,34.9520,35.5739,35.3698,35.4350,35.5150,35.2840,32.6294,32.9138,34.7276,34.7279,38.0398,34.0203,34.3014,33.8332,37.1972,37.5993,38.1296,38.1296,37.6368,34.8905,36.2528,33.0269,34.4116,34.0776,35.0066,34.8794,37.2312,0.0000,36.1909,34.3454,40.1880,39.9646,34.9171,34.8721,38.4254,35.8367,35.4234,41.5201,0.6006,35.6718,0.6006,0.6705,34.8479,36.5468,39.5485,40.4242,39.9852,36.6565,33.6748,39.7238,39.6686,38.6187,0.6225,37.5804,33.2097,33.8396,33.7756,38.0935,39.3308,33.3890,38.2649,38.5130,38.5259,38.3726,37.9260,38.5067,38.4080,38.6000,38.5288,38.4942,37.8397,35.4117,34.3947,34.8797,0.0000,35.0493,35.0846,35.0493,34.8021,34.8949,35.0463,35.1695,35.4660,40.0376,34.9719,35.2774,35.6578,35.3130,34.8056,35.0067,35.6648,34.3697,34.8055,33.8086
8.0000,27.6274,26.8321,26.8987,26.5432,25.8445,25.6993,25.5932,28.5003,27.3016,29.4775,28.3242,28.9922,27.5142,26.7473,26.1178,25.9254,27.2229,27.1625,27.4322,26.6883,26.1041,25.6671,25.8543,26.2796,25.6969,26.0547,26.1113,26.9844,30.5364,26.7846,27.0601,27.1635,30.7479,27.5978,27.4722,28.7323,27.2760,26.9722,27.2161,27.7015,29.1745,27.4074,28.3828,29.3072,31.1713,27.0974,29.5328,29.4571,25.6324,30.9152,31.0124,28.1719,29.8999,28.9164,29.5103,28.3936,27.0563,30.7336,26.7080,27.8445,29.1181,29.1574,30.4327,30.4972,28.7389,29.0355,29.0197,29.7359,29.2436,29.2989,30.6817,29.4404,28.2681,29.1237,27.4964,26.2800,26.8826,30.6104,29.4656,26.9592,26.5105,27.3198,27.2850,27.3034,27.3617,27.3951,27.3464,27.3117,27.2045,28.5529,27.3735,27.1872,27.1675,26.8039,26.5915,27.5634,27.6970,27.0828,0.0000,28.3200,28.7005,27.3153,26.2955,27.3931,27.5040,27.5454,28.3900,28.7875,29.0273,26.4889,27.5330,30.5571,29.3200,27.7763,25.6005,25.4857,28.9473,27.1664,27.0733,28.4129,29.3520,27.2992,27.3343,26.6463,26.9469,27.3045,29.4358,28.7059,26.7404,26.7473,26.5453,25.9515,24.1905,28.0991,27.0457,27.4691,27.3460,27.3964,27.4604,27.2090,25.1793,25.4012,26.8416,26.8419,29.3481,26.2977,26.4758,26.1169,28.7024,29.0112,29.3479,29.3479,28.9725,26.9933,28.0259,25.4886,26.5678,26.3072,27.0605,26.9707,28.7276,0.0000,27.9122,26.5490,30.9866,30.8144,26.9989,26.9604,29.5683,27.7031,27.3826,32.0387,0.6006,27.5082,0.6006,0.6676,26.8902,28.1164,30.3512,31.0943,30.7714,28.2321,26.0090,30.6269,30.5861,29.7868,0.6216,28.9957,25.6352,26.1146,26.0587,29.2575,30.1889,25.7602,29.5209,29.7103,29.7201,29.5970,29.2603,29.7054,29.6340,29.7840,29.7223,29.6940,29.2010,27.3735,26.5919,26.9709,0.0000,27.0103,27.1432,27.0103,26.9002,26.9723,27.0912,27.1519,27.3417,30.8138,27.0598,27.1974,27.5020,27.2249,26.8078,27.0445,27.5207,26.5309,26.8078,26.0829
9.0000,25.9534,25.1355,25.1970,24.8651,24.2168,24.0825,23.9854,26.6698,25.5720,27.5718,26.5249,27.1307,25.7783,25.0570,24.4480,24.2731,25.4706,25.4334,25.6312,24.9988,24.4562,24.0512,24.2254,24.6172,24.0823,24.4113,24.4610,25.2792,28.5700,25.0917,25.3459,25.4405,28.7617,25.9078,25.7907,26.9097,25.5484,25.2997,25.4950,26.0271,27.4935,25.6707,26.5775,27.6257,29.1557,25.3430,27.5755,27.5049,23.9921,28.9081,28.9990,26.3364,27.9664,27.0436,27.5866,26.5395,25.3436,28.7350,24.9803,26.0603,27.2125,27.2478,28.4513,28.5106,26.8729,27.1459,27.1331,27.7808,27.3335,27.3862,28.6875,27.5338,26.4664,27.2178,25.7217,24.6292,25.1880,28.6392,27.5773,25.2560,24.8344,25.5866,25.5567,25.5738,25.6274,25.6579,25.6134,25.5812,25.4802,26.7358,25.6396,25.4685,25.4489,25.1136,24.9179,25.8207,25.9419,25.3728,0.0000,26.5218,26.8770,25.5852,24.6316,25.7035,25.7019,25.7550,26.5405,26.9100,27.1293,24.8405,25.7868,28.5708,27.4443,26.0143,24.0044,23.8815,27.1219,25.4658,25.3609,26.5560,27.4231,25.5701,25.6006,24.9662,25.2031,25.5847,27.5339,26.8346,25.0107,25.0172,24.8742,24.2832,22.6705,26.3146,25.3311,25.7510,25.6135,25.6608,25.7207,25.4481,23.5928,23.8021,25.1448,25.1451,27.4196,24.6351,24.7686,24.4381,26.8338,27.1230,27.5091,27.5091,27.1439,25.2843,26.2343,23.8636,24.8539,24.6187,25.3492,25.2655,26.8549,0.0000,26.0687,24.8705,28.9746,28.8126,25.2923,25.2592,27.6612,25.9406,25.6480,29.9677,0.6006,25.7005,0.6006,0.6630,25.1911,26.3832,28.4508,29.0957,28.7829,26.4379,24.3572,28.6341,28.5962,27.8435,0.6195,27.1118,24.0256,24.4711,24.4151,27.4273,28.2997,24.1458,27.5668,27.7390,27.7482,27.6438,27.3399,27.7346,27.6859,27.8257,27.7503,27.7163,27.2852,25.6396,24.9183,25.2657,0.0000,25.2405,25.4236,25.2405,25.1997,25.2663,25.3785,25.4293,25.5486,28.8240,25.3457,25.4082,25.6989,25.4364,25.0368,25.3347,25.7534,24.8377,25.0367,24.4412
10.0000,25.9626,25.1361,25.1967,24.8692,24.2210,24.0908,23.9916,26.6536,25.5784,27.5532,26.5188,27.1134,25.7945,25.0555,24.4308,24.2724,25.3710,25.3748,25.6130,25.0024,24.4595,24.0493,24.2251,24.6199,24.0920,24.4297,24.4794,25.2773,28.5352,25.0927,25.3499,25.4448,28.7241,25.9179,25.8009,26.9032,25.5546,25.3079,25.4997,26.0360,27.4961,25.6686,26.5700,27.6276,29.1349,25.3963,27.7150,27.6442,23.9891,29.0218,29.1235,26.4037,28.0495,27.1459,27.6699,26.6105,25.3074,28.8585,25.0288,26.2483,27.3097,27.3482,28.5673,28.6282,26.9567,27.2285,27.2185,27.8950,27.4265,27.4785,28.7760,27.6020,26.6343,27.3150,25.7685,24.6292,25.1602,28.6030,27.5595,25.2563,24.8391,25.5214,25.5630,25.5798,25.6346,25.6658,25.6194,25.5869,25.4872,26.7266,25.6441,25.4728,25.4528,25.1178,24.9206,25.8199,25.9386,25.3714,0.0000,26.5164,26.8695,25.5918,24.6340,25.7131,25.7027,25.7721,26.5960,26.9908,27.2226,24.8405,25.7911,28.6604,27.4286,26.0192,24.0117,23.8821,27.1073,25.4754,25.3661,26.6307,27.5393,25.5748,25.6064,24.9675,25.2544,25.5856,27.5155,26.9058,25.0594,25.0659,24.8652,24.2884,22.6797,26.3089,25.3331,25.7453,25.6200,25.6651,25.7244,25.5031,23.6015,23.8106,25.1482,25.1485,27.5356,24.6392,24.7792,24.4433,26.9088,27.2045,27.5052,27.5052,27.1375,25.2875,26.2424,23.8630,24.8353,24.6018,25.3533,25.2703,26.9265,0.0000,26.0433,24.8746,29.0988,28.9339,25.2975,25.2665,27.6423,25.9463,25.6525,30.1061,0.6006,25.6821,0.6006,0.6643,25.1892,26.3964,28.4545,29.1013,28.7438,26.4314,24.3566,28.7549,28.7150,27.9473,0.6199,27.1972,24.0322,24.4837,24.4332,27.4459,28.3053,24.1575,27.7047,27.8819,27.8912,27.7806,27.4608,27.8773,27.8009,27.9402,27.8933,27.8682,27.4008,25.6441,24.9210,25.2705,0.0000,25.0726,25.4281,25.0726,25.2032,25.2704,25.3827,25.3844,25.4809,28.7840,25.3496,25.3872,25.6987,25.4178,24.8061,25.3370,25.9394,24.8043,24.8061,24.4481
