"ETAPA \ BARRA","AGUAYTIA 220","BALNEARIO 220","BALNEARIOS 60 A","CALLAHUANCA 220","CALLAHUANCA 60","CARHUAMAYO 220","CARHUAMAYO NUEVA 138","CARHUAQUERO 220","CHAVARRIA 220 A","CHICLAYO OESTE 220","CHIMBOTE 220","GUADALUPE 220","HUACHIPA 60","HUACHO 220","HUANCAVELICA 220","HUAYUCACHI 220","ICA 220","INDEPENDENCIA 220","MARCONA220","MOYOPAMPA 60","OROYA NUEVA 220","OROYA NUEVA 138","OROYA NUEVA 50","PACHACHACA 220","PARAGSHA2 220","PARAGSHA 138","PARAGSHA 50","PARAMONGA NUEVA 220","PIURA OESTE 220","SAN JUAN 220","SANTA ROSA 220 A","SANTA ROSA EDS 60","TALARA 220","TINGO MARIA 138","TINGO MARIA 220","TRUJILLO 220","VENTANILLA 220","VIZCARRA 220","ZAPALLAL 220","AGUAYTIA 138","PUCALLPA 138","HUALLANCA 138","CHIMBOTE 138","PUCALLPA 60","ZORRITOS 220","ABANCAY NUEVA 138","ARICOTA138","ARICOTA II 66","CAMPO ARMINO 220","AYAVIRI138","AZANGARO 138","CACHIMAYO 138","CALLALLI 138","CERRO VERDE 138","COMBAPATA 138","DOLORESPATA 138","DESIERTO220","JULIACA 138","MACHUPICCHU 138","MOLLENDO 138","MOQUEGUA 220","MOQUEGUA 138","PUNO 220","PUNO 138","SANTUARIO 138","SOCABAYA 220","SOCABAYA 138","ILO 138","LOS HEROES 220 A","LOS HEROES 66","TINTAYA 138","TOMASIRI 66","REPARTICION 138","ILO2 220","COTARUSE 220","CHILCA REP 220","CANTERA 220","PIURA OESTE 60","LA NINA 220","CONOCOCHA 220","HUINCO 220","INDEPENDENCIA 60","CHILLON 220","CHILLON 60","CHAVARRIA 60 A","CHAVARRIA 60 B","BARSI 60","BARSI 220","OQUENDO 60","CAJAMARCA 220","PLANICIE 220 A","CARABAYLLO 220","CARABAYLLO 500","CHILCA CTM 500","CHILCA CTM 220 A","KIMAN AYLLU 138","KIMAN AYLLU 220","PARAMONGA EXISTENTE 138","MACHALA 200","CHIMBOTE 500","TRUJILLO 500","HUARANGAL 60","POMACOCHA 220","PIEDRA BLANCA 138","POROMA 220","POROMA500","OCONA 500","MONTALVO 500","MONTALVO 220","HUANZA 220","INDUSTRIALES 220 A","TINTAYA 220","LA NINA 500","INDUSTRIALES 60","CARHUAMAYO 50","CARIPA138","HUAMPANI 60","HUANUCO 138","REFINERIA ZINC 220","QUENCORO 138","ILO 3 220","MIRADOR 220","MIRADOR 60","ALTO PRADERA 220","ABANCAY NUEVA 220","LOMERA 220","REQUE 220","SAN JOSE 500","SANTA TERESA 220","SURIRAY 220","ASIA 220","CERRO DEL AGUILA 220","CHAGLLA 220","RAMADA 220","SANTA ROSA LDS 60","LOMERA 60","ZAPALLAL 60","MALVINAS 220","MALVINAS 60","ABANCAY 138","YAUPI 138","SANTA ISABEL 220","YANANGO 220","CHIMAY 220","ILO3 138","MATUCANA 220","COLCABAMBA 500","COLCABAMBA 220","YARABAMBA 500","YARABAMBA 220","BELAUNDE 220","BELAUNDE 138","CACLIC 220","INDUSTRIALES 220B","PLANICIE60","COBRIZAI 69","MOLLEPATA 60","MOLLEPATA220","CARAPONGO 500","CARAPONGO 220 A","SAN JOSE 220","MARCONA 60 A","SAN NICOLAS 60","CALLAHUANCA EDN 220","PUMIRI138","PUMIRI220","SAN MIGUEL 220","SAN MIGUEL 60","FELAM 220","MANCHAY 60","MANCHAY 220","SAN RAFAEL 138","SAN GABAN 138","MARCONA 60 B","ANGEL 138","PTO MALDONADO 138","MEDIO MUNDO 220","AUCAYACU 138","BELLAVISTA 138","TARAPOTO 138","PARINAS 220","PAMPA HONDA 220","ORCOTUNA 220","SAN ROMAN 138","SAN ROMAN 220","CHILOTA 220","MAZUCO 138","JESUS 138","CARHUAMAYO 138","CINCO MANANTIALES 138","OXIDOS CERRO 138","TOCACHE 138","JUANJUI 138","FRANCOISE 220","BOTIFLACA 138","MILL SITE 138","PLAZA TOQUEPALA 138","QUEBRADA HONDA 138","PANAMERICANA SOLAR 138","TOQUEPALA 138","ILO ELS 138","REFINERIA 138","LIXIVIACION 138","PUSHBACK 138","INTIPAMPA 138","PLANICIE 220 B","CHILCA CTM 220 B","CARAPONGO 220 B","CHILCA 1 220","DERIVACION 220","CHAVARRIA 220 B","DERIVACION 220  BARRA II","CAMPAS 220","CAMPAS 500","PLANICIE 500","NUEVA CHINCHA 220","CAHUACHI 220","VALLE DEL CHIRA 220","SANTA ROSA 220 B","ERSUR 220","FLAMENCO220","BARRA3HERMANAS","BARRAPTALOMITAS","PUERTO CHANCAY 220","CHAPARRAL 138","CHIRIBAMBA 220","BARRAPTALOMITAS2","YSHCAYUCRO 220"
1.0000,22.8646,22.9234,22.9522,22.5266,21.9179,21.5850,21.4592,23.6895,23.1144,24.4924,23.8183,24.2698,23.2515,22.4047,22.3573,22.0414,23.6253,23.4623,24.0767,22.6406,22.0172,21.3268,21.6506,22.2482,21.5649,21.9146,21.9829,22.5632,25.4751,22.9078,23.0322,23.0841,25.8096,22.7225,22.7344,24.0989,23.0908,22.5020,23.0776,22.8972,23.5384,22.9294,23.8493,23.5960,26.1263,23.2478,25.8421,25.7534,21.8866,25.1605,24.4889,24.0068,25.9295,25.4656,25.2565,24.1459,23.3821,25.0481,22.9491,26.2738,25.4491,25.4863,25.0529,25.0981,24.9663,25.3002,25.3337,26.0182,25.5918,25.6678,26.4736,25.7635,25.7791,25.4532,23.6722,22.7352,23.2072,25.5134,24.6291,22.5582,22.6978,23.5730,23.0961,23.1183,23.1452,23.1513,23.1652,23.1380,23.0089,23.8153,23.2458,23.0757,23.1067,22.9982,22.8926,23.0602,23.1529,22.5715,0.0000,23.8173,24.0751,23.1319,22.2870,22.5737,23.9896,23.9556,24.8116,25.2030,25.3885,22.4944,23.3177,26.3666,24.5181,23.4543,21.3780,20.8027,23.1645,22.4273,23.0094,24.1754,25.7029,23.1335,23.1650,22.8800,23.1327,23.1013,24.4735,25.1127,22.9774,22.9834,22.9431,22.2912,20.3007,23.4659,23.0307,23.1473,23.1399,23.1776,23.1975,23.3353,21.1410,21.3315,22.6442,22.4382,25.6991,22.3192,22.8260,22.4296,25.0647,25.2809,24.4180,24.5706,24.1312,23.0020,23.5732,21.7951,22.6247,22.4646,23.0389,22.9450,25.2539,0.0000,24.5958,22.5325,24.5194,24.6837,22.9607,22.9511,24.6300,23.4140,23.2505,23.0677,21.2622,24.1554,21.2935,22.5321,22.5006,23.1220,24.9519,25.1436,25.8156,23.5688,22.1087,25.0378,24.9622,25.2708,21.6523,25.2487,21.4698,21.9206,21.9166,24.0154,24.8039,21.6257,25.8309,26.0094,26.0181,25.9216,25.6991,26.0048,25.9319,26.0606,26.0200,25.9845,25.6311,23.2458,22.8928,22.9451,0.0000,23.7208,23.0671,23.7209,22.7575,22.8462,23.0997,23.4618,24.0151,25.7798,23.0321,23.9832,23.9883,24.0206,23.6769,22.8299,25.9303,22.7933,23.6768,21.8694
2.0000,22.8372,22.9159,22.9442,22.5201,21.9145,21.5726,21.4392,23.6651,23.1036,24.4634,23.7989,24.2453,23.2444,22.3982,22.3533,22.0392,23.6158,23.4529,24.0767,22.6319,22.0112,21.3300,21.6513,22.2421,21.5515,21.9019,21.9743,22.5559,25.4360,22.9006,23.0229,23.0739,25.7687,22.6992,22.7104,24.0767,23.0800,22.4855,23.0682,22.8689,23.4915,22.9107,23.8290,23.5474,26.0821,23.2513,25.8927,25.8054,21.8847,25.1859,24.5176,24.0090,25.9464,25.4834,25.2659,24.1478,23.3753,25.0750,22.9541,26.2837,25.4753,25.5139,25.0801,25.1257,24.9860,25.3178,25.3511,26.0551,25.6173,25.6907,26.4921,25.7959,25.7974,25.4794,23.6798,22.7315,23.1956,25.4734,24.6007,22.5450,22.6978,23.5611,23.0852,23.1072,23.1340,23.1397,23.1534,23.1266,22.9976,23.7928,23.2377,23.0668,23.0986,22.9944,22.8894,23.0416,23.1341,22.5680,0.0000,23.7982,24.0531,23.1210,22.2805,22.5511,23.9958,23.9623,24.8259,25.2232,25.4132,22.4876,23.3090,26.3851,24.4909,23.4452,21.3350,20.8006,23.1624,22.4061,23.0016,24.1776,25.7384,23.1233,23.1544,22.8740,23.1370,23.0918,24.4448,25.1300,22.9825,22.9885,22.9365,22.2919,20.2881,23.4452,23.0206,23.1378,23.1286,23.1664,23.1857,23.3382,21.1317,21.3204,22.6374,22.4315,25.7351,22.3128,22.8286,22.4304,25.0823,25.2985,24.3894,24.5412,24.1054,22.9932,23.5595,21.7969,22.6175,22.4597,23.0317,22.9380,25.2715,0.0000,24.5820,22.5260,24.5480,24.7113,22.9535,22.9449,24.6017,23.4032,23.2424,23.0938,21.2831,24.1504,21.3147,22.5302,22.4938,23.0951,24.9121,25.1064,25.7749,23.5475,22.1058,25.0651,24.9894,25.2979,21.6663,25.2664,21.4482,21.9032,21.9036,23.9754,24.7630,21.6116,25.8685,26.0633,26.0719,25.9667,25.7351,26.0585,25.9680,26.0976,26.0739,26.0468,25.6659,23.2377,22.8895,22.9381,0.0000,23.7153,23.0571,23.7153,22.7506,22.8390,23.0929,23.4534,24.0134,25.7394,23.0227,23.9819,23.9947,24.0217,23.6721,22.8216,25.9460,22.7872,23.6720,21.8560
3.0000,22.8143,22.8974,22.9254,22.5049,21.9048,21.5593,21.4352,23.6425,23.0836,24.4394,23.7761,24.2250,23.2243,22.3831,22.3372,22.0234,23.5936,23.4345,24.0655,22.5994,21.9951,21.3084,21.6317,22.2264,21.5372,21.8834,21.9518,22.5415,25.4067,22.8822,23.0047,23.0562,25.7361,22.6724,22.6864,24.0539,23.0598,22.4662,23.0484,22.8462,23.4742,22.8930,23.8048,23.5306,26.0453,23.2348,25.8666,25.7771,21.8716,25.1687,24.5033,23.9898,25.9254,25.4680,25.2425,24.1272,23.3584,25.0604,22.9386,26.2724,25.4534,25.4897,25.0639,25.1096,24.9696,25.3002,25.3337,26.0212,25.5983,25.6750,26.4723,25.7781,25.7890,25.4575,23.6634,22.7136,23.1820,25.4441,24.5760,22.5294,22.6978,23.5426,23.0650,23.0873,23.1135,23.1187,23.1320,23.1061,22.9771,23.7711,23.2193,23.0472,23.0801,22.9768,22.8717,23.0265,23.1164,22.5561,0.0000,23.7759,24.0302,23.1003,22.2648,22.5251,23.9837,23.9481,24.8089,25.2038,25.3920,22.4694,23.2903,26.3658,24.4665,23.4264,21.3527,20.7782,23.1871,22.3815,22.9849,24.1567,25.7130,23.1028,23.1320,22.8558,23.1210,23.0713,24.4211,25.1119,22.9669,22.9728,22.9191,22.2785,20.2747,23.4256,23.0022,23.1159,23.1081,23.1458,23.1655,23.3216,21.1203,21.3079,22.6203,22.4146,25.7105,22.2977,22.8148,22.4169,25.0641,25.2809,24.3649,24.5161,24.0823,22.9750,23.5414,21.8068,22.5822,22.4378,23.0139,22.9221,25.2533,0.0000,24.5461,22.5108,24.5337,24.6967,22.9374,22.9287,24.5784,23.3850,23.2240,23.0867,21.2751,24.1384,21.3067,22.5226,22.4791,23.0617,24.8745,25.0706,25.7424,23.5274,22.0897,25.0497,24.9739,25.2786,21.6572,25.2490,21.4453,21.8925,21.8855,23.9282,24.7245,21.5969,25.8276,26.0374,26.0461,25.9376,25.7105,26.0327,25.9373,26.0617,26.0481,26.0197,25.6413,23.2193,22.8719,22.9222,0.0000,23.6871,23.0382,23.6872,22.7333,22.8216,23.0747,23.4369,23.9965,25.7074,23.0046,23.9732,23.9828,24.0130,23.6377,22.8035,25.9367,22.7702,23.6376,21.8413
4.0000,22.8811,22.9455,22.9735,22.5484,21.9444,21.6064,21.4794,23.7069,23.1304,24.5082,23.8382,24.2973,23.2696,22.4427,22.3981,22.0825,23.6708,23.5038,24.1402,22.6624,22.0415,21.3469,21.6739,22.2740,21.5859,21.9357,22.0052,22.6014,25.4834,22.9304,23.0508,23.1040,25.8181,22.7392,22.7521,24.1183,23.1074,22.5293,23.0982,22.9133,23.5473,22.9519,23.8682,23.6042,26.1300,23.3156,25.9635,25.8744,21.9296,25.2662,24.5978,24.0756,26.0236,25.5602,25.3406,24.2138,23.4255,25.1583,23.0160,26.3722,25.5456,25.5834,25.1596,25.2058,25.0577,25.3893,25.4234,26.1173,25.6911,25.7676,26.5738,25.8696,25.8894,25.5497,23.7427,22.7639,23.2406,25.5208,24.6453,22.5871,22.6978,23.6116,23.1126,23.1350,23.1605,23.1660,23.1801,23.1536,23.0243,23.8357,23.2695,23.0973,23.1295,23.0276,22.9224,23.0859,23.1775,22.6167,0.0000,23.8372,24.0942,23.1501,22.3133,22.5892,24.0593,24.0217,24.8925,25.2924,25.4832,22.5216,23.3404,26.4664,24.5349,23.4772,21.3916,20.8108,23.2351,22.4401,23.0275,24.2440,25.8070,23.1530,23.1825,22.9048,23.2004,23.1202,24.4903,25.1990,23.0445,23.0505,22.9724,22.3407,20.3205,23.4884,23.0478,23.1632,23.1563,23.1961,23.2156,23.4040,21.1626,21.3529,22.6679,22.4618,25.8038,22.3408,22.8806,22.4794,25.1509,25.3697,24.4330,24.5856,24.1488,23.0215,23.5896,21.8594,22.6500,22.5013,23.0620,22.9634,25.3418,0.0000,24.6236,22.5543,24.6283,24.7918,22.9789,22.9698,24.6493,23.4346,23.2742,23.1665,21.3531,24.2152,21.3846,22.6061,22.5389,23.1322,24.9548,25.1448,25.8246,23.5906,22.1477,25.1467,25.0699,25.3723,21.7387,25.3391,21.4890,21.9421,21.9377,24.0069,24.8045,21.6439,25.9332,26.1352,26.1439,26.0298,25.8038,26.1304,26.0319,26.1584,26.1459,26.1188,25.7361,23.2695,22.9225,22.9635,0.0000,23.7757,23.0847,23.7758,22.7811,22.8694,23.1247,23.5057,24.0762,25.7884,23.0506,24.0512,24.0585,24.0905,23.7344,22.8570,26.0369,22.8345,23.7344,21.8928
5.0000,22.9434,22.9820,23.0103,22.5832,21.9771,21.6550,21.5265,23.7689,23.1661,24.5727,23.8916,24.3632,23.2987,22.4829,22.4516,22.1294,23.7374,23.5622,24.2216,22.6989,22.0851,21.3923,21.7179,22.3155,21.6354,21.9870,22.0566,22.6436,25.5431,22.9667,23.0851,23.1383,25.8783,22.8006,22.8130,24.1755,23.1437,22.5844,23.1362,22.9760,23.6169,23.0101,23.9228,23.6745,26.1888,23.3933,26.0743,25.9847,21.9815,25.3713,24.7038,24.1579,26.1207,25.6616,25.4300,24.2962,23.4764,25.2651,23.0908,26.4913,25.6448,25.6833,25.2650,25.3120,25.1595,25.4852,25.5206,26.2205,25.7929,25.8702,26.6739,25.9737,26.0054,25.6489,23.8179,22.7976,23.2878,25.5805,24.7043,22.6370,22.6988,23.6733,23.1490,23.1713,23.1964,23.2022,23.2163,23.1892,23.0605,23.8978,23.3087,23.1352,23.1675,23.0644,22.9572,23.1439,23.2351,22.6558,0.0000,23.8900,24.1504,23.1893,22.3552,22.6496,24.1362,24.0950,24.9796,25.3870,25.5813,22.5618,23.3799,26.5667,24.5935,23.5168,21.4396,20.8635,23.2784,22.4988,23.0593,24.3251,25.9117,23.1913,23.2218,22.9402,23.2769,23.1595,24.5549,25.2913,23.1194,23.1254,23.0121,22.3988,20.3671,23.5482,23.0820,23.2050,23.1935,23.2337,23.2525,23.4831,21.2141,21.4026,22.7052,22.4987,25.9086,22.3750,22.9437,22.5379,25.2434,25.4653,24.5043,24.6580,24.2156,23.0563,23.6350,21.9126,22.7058,22.5561,23.0987,22.9942,25.4356,0.0000,24.7279,22.5888,24.7343,24.8974,23.0095,22.9989,24.7126,23.4772,23.3134,23.2712,21.4490,24.2976,21.4807,22.7175,22.5804,23.1981,25.0446,25.2354,25.8851,23.6511,22.1937,25.2530,25.1756,25.4747,21.8385,25.4385,21.5366,21.9921,21.9890,24.0833,24.8922,21.6934,26.0433,26.2479,26.2566,26.1456,25.9086,26.2430,26.1358,26.2618,26.2586,26.2305,25.8396,23.3087,22.9573,22.9943,0.0000,23.8522,23.1194,23.8523,22.8182,22.9067,23.1625,23.5601,24.1574,25.8488,23.0849,24.1349,24.1355,24.1739,23.8143,22.8958,26.1539,22.8899,23.8142,21.9423
6.0000,23.0055,23.0024,23.0354,22.5864,21.9671,21.6479,21.5226,23.8258,23.1872,24.6506,23.9277,24.4321,23.3230,22.5031,22.4175,22.1142,23.6869,23.5231,24.1240,22.7034,22.0735,21.3580,21.6914,22.3087,21.6293,21.9757,22.0442,22.6618,25.6387,22.9842,23.1041,23.1574,25.9785,22.8537,22.8599,24.2238,23.1645,22.5880,23.1532,23.0422,23.7646,23.0294,23.9593,23.8295,26.2966,23.3308,25.9335,25.8394,21.9500,25.2624,24.6042,24.1079,25.9850,25.5622,25.3475,24.2514,23.4420,25.1717,23.0264,26.3887,25.5346,25.5716,25.1675,25.2158,25.0574,25.3843,25.4213,26.0974,25.6886,25.7727,26.5415,25.8600,25.9106,25.5386,23.7434,22.8001,23.2713,25.6785,24.7724,22.6504,22.6978,23.6352,23.1699,23.1920,23.2188,23.2260,23.2414,23.2128,23.0828,23.9406,23.3303,23.1510,23.1810,23.0649,22.9572,23.1572,23.2557,22.6723,0.0000,23.9271,24.1975,23.2091,22.3489,22.6975,24.0567,24.0259,24.8892,25.2857,25.4734,22.5681,23.4091,26.4378,24.6574,23.5561,21.4432,20.8264,23.2670,22.5368,23.0715,24.2779,25.7900,23.2107,23.2427,22.9522,23.2129,23.1759,24.6320,25.1934,23.0545,23.0605,23.0055,22.3566,20.3614,23.5785,23.1000,23.2204,23.2149,23.2559,23.2761,23.4193,21.2073,21.3956,22.7111,22.5045,25.7858,22.3785,22.8935,22.4954,25.1468,25.3647,24.5644,24.7229,24.2675,23.0750,23.6736,21.8678,22.6919,22.5299,23.1092,23.0049,25.3346,0.0000,24.6053,22.5923,24.6348,24.7995,23.0209,23.0069,24.7874,23.5076,23.3353,23.1666,21.3624,24.1995,21.3934,22.6796,22.5995,23.2559,25.1453,25.3474,25.9850,23.6849,22.1817,25.1576,25.0790,25.3716,21.7694,25.3414,21.5320,21.9798,21.9776,24.1546,24.9889,21.6848,25.9219,26.1053,26.1129,26.0106,25.7858,26.1006,26.0131,26.1382,26.1151,26.0922,25.7193,23.3303,22.9573,23.0050,0.0000,23.7811,23.1400,23.7811,22.8253,22.9150,23.1736,23.5217,24.0601,25.9489,23.1039,24.0399,24.0560,24.0786,23.7412,22.9140,26.0567,22.8538,23.7411,21.9421
7.0000,23.0309,23.0119,23.0464,22.5926,21.9674,21.6460,21.5184,23.8828,23.2034,24.7199,23.9653,24.4970,23.3413,22.5255,22.4115,22.1214,23.6688,23.5085,24.1093,22.7146,22.0714,21.3453,21.6816,22.3101,21.6281,21.9723,22.0421,22.6867,25.7290,22.9924,23.1168,23.1701,26.0712,22.8773,22.8804,24.2716,23.1810,22.5901,23.1686,23.0687,23.8141,23.0665,23.9966,23.8811,26.3888,23.3351,25.9207,25.8237,21.9489,25.2480,24.5907,24.1184,25.9745,25.5568,25.3453,24.2641,23.4327,25.1651,23.0252,26.4022,25.5255,25.5617,25.1594,25.2086,25.0550,25.3739,25.4132,26.0817,25.6853,25.7744,26.5201,25.8590,25.9169,25.5295,23.7338,22.7982,23.2633,25.7713,24.8370,22.6737,22.6978,23.6169,23.1865,23.2089,23.2353,23.2431,23.2596,23.2298,23.0998,23.9918,23.3443,23.1654,23.1935,23.0680,22.9572,23.1943,23.2926,22.6969,0.0000,23.9651,24.2442,23.2268,22.3503,22.7189,24.0466,24.0183,24.8799,25.2765,25.4643,22.5801,23.4250,26.4179,24.7185,23.5720,21.4310,20.8162,23.2756,22.5539,23.0819,24.2881,25.7788,23.2277,23.2622,22.9567,23.2143,23.1950,24.7009,25.1837,23.0530,23.0590,23.0004,22.3539,20.3602,23.6217,23.1124,23.2462,23.2325,23.2739,23.2943,23.4261,21.2046,21.3933,22.7186,22.5120,25.7745,22.3847,22.8897,22.4928,25.1376,25.3544,24.6335,24.7968,24.3280,23.0866,23.7102,21.8790,22.6838,22.5249,23.1195,23.0141,25.3241,0.0000,24.5037,22.5986,24.6216,24.7883,23.0307,23.0158,24.8564,23.5326,23.3495,23.1366,21.3441,24.1736,21.3746,22.6802,22.6236,23.2937,25.2318,25.4421,26.0780,23.7304,22.1895,25.1501,25.0705,25.3624,21.7553,25.3378,21.5267,21.9734,21.9742,24.2129,25.0708,21.6793,25.9094,26.0935,26.1012,25.9993,25.7732,26.0888,25.9986,26.1233,26.1034,26.0801,25.7070,23.3443,22.9573,23.0142,0.0000,23.7560,23.1541,23.7560,22.8336,22.9243,23.1834,23.5112,24.0353,26.0422,23.1166,24.0285,24.0460,24.0667,23.7127,22.9320,26.0651,22.8444,23.7125,21.9483
8.0000,23.0928,23.0324,23.0700,22.6082,21.9728,21.6684,21.5441,23.9675,23.2300,24.8191,24.0240,24.5874,23.3657,22.5569,22.4283,22.1136,23.7041,23.5369,24.1119,22.7552,22.0860,21.3531,21.6900,22.3247,21.6529,21.9924,22.0602,22.7217,25.8478,23.0110,23.1418,23.2010,26.1985,22.9367,22.9372,24.3437,23.2070,22.6319,23.1898,23.1318,23.9000,23.1260,24.0568,23.9691,26.5282,23.3483,25.9019,25.8047,21.9554,25.2274,24.5722,24.1483,25.9461,25.5327,25.3544,24.2986,23.4488,25.1434,23.0346,26.3140,25.5057,25.5419,25.1380,25.1859,25.0407,25.3582,25.3970,26.0625,25.6641,25.7524,26.5030,25.8302,25.8647,25.5095,23.7346,22.7993,23.2823,25.8920,24.9279,22.7164,22.6978,23.6539,23.2127,23.2350,23.2635,23.2728,23.2893,23.2586,23.1278,24.0704,23.3617,23.1851,23.2123,23.0716,22.9572,23.2546,23.3536,22.7311,0.0000,24.0236,24.3145,23.2496,22.3656,22.7772,24.0444,24.0152,24.8686,25.2604,25.4452,22.5913,23.4456,26.4013,24.8055,23.5938,21.4655,20.8350,23.3037,22.6105,23.1006,24.3208,25.7522,23.2508,23.2848,22.9691,23.2254,23.2176,24.7993,25.1694,23.0621,23.0681,23.0096,22.3577,20.3835,23.6909,23.1390,23.2713,23.2587,23.3000,23.3224,23.4391,21.2242,21.4146,22.7334,22.5267,25.7473,22.4001,22.8915,22.4966,25.1235,25.3388,24.7119,24.8786,24.4065,23.1100,23.7442,21.8574,22.7394,22.5561,23.1355,23.0308,25.3089,0.0000,24.5286,22.6142,24.6030,24.7691,23.0479,23.0309,24.9515,23.5572,23.3672,23.1354,21.3394,24.1758,21.3701,22.6611,22.6569,23.3563,25.3098,25.5214,26.2054,23.8023,22.1845,25.1285,25.0496,25.3420,21.7505,25.3240,21.5529,21.9968,21.9943,24.2858,25.1485,21.7033,25.8897,26.0764,26.0844,25.9775,25.7282,26.0717,25.9756,26.1041,26.0865,26.0627,25.6785,23.3618,22.9573,23.0309,0.0000,23.7897,23.1803,23.7898,22.8486,22.9403,23.1972,23.5332,24.0435,26.1684,23.1416,24.0347,24.0437,24.0723,23.7534,22.9570,25.9979,22.8658,23.7533,21.9784
9.0000,23.1094,23.0418,23.0831,22.5993,21.9523,21.6568,21.5275,24.0026,23.2255,24.8688,24.0449,24.6307,23.3623,22.5640,22.3862,22.0888,23.6659,23.5038,24.0198,22.7646,22.0689,21.3261,21.6651,22.3088,21.6426,21.9850,22.0547,22.7288,25.8966,23.0184,23.1428,23.2016,26.2551,22.9542,22.9511,24.3733,23.2021,22.6269,23.1867,23.1493,23.9363,23.1299,24.0806,24.0070,26.5905,23.2057,25.6525,25.5538,21.9110,25.0697,24.4333,24.0070,25.7440,25.2998,25.1799,24.1610,23.4227,24.9689,22.8969,25.8206,25.2887,25.3231,24.9529,24.9973,24.8470,25.1655,25.1993,25.8196,25.4402,25.5268,26.2972,25.5695,25.4960,25.2924,23.5904,22.8052,23.2653,25.9410,24.9664,22.7195,22.6978,23.6215,23.2076,23.2292,23.2589,23.2677,23.2882,23.2575,23.1223,24.0990,23.3652,23.1830,23.2103,23.0667,22.9572,23.2501,23.3612,22.7373,0.0000,24.0437,24.3421,23.2428,22.3497,22.7973,23.9431,23.9122,24.7085,25.0652,25.2320,22.5824,23.4538,26.1954,24.8419,23.6088,21.4398,20.8156,23.2410,22.6354,23.0973,24.1824,25.5070,23.2499,23.2835,22.9750,23.0845,23.2087,24.8485,24.9871,22.9240,22.9300,23.0049,22.2946,20.3738,23.7086,23.1391,23.2519,23.2522,23.3010,23.3248,23.2926,21.2166,21.4047,22.7279,22.5212,25.5004,22.3915,22.8149,22.4331,24.9401,25.1473,24.7723,24.9446,24.4518,23.1126,23.7425,21.8125,22.6991,22.5145,23.1322,23.0281,25.1220,0.0000,24.4790,22.6055,24.4616,24.6163,23.0452,23.0254,24.9959,23.5595,23.3706,23.0167,21.2360,24.0873,21.2662,22.6135,22.6642,23.3809,25.4028,25.6213,26.2617,23.8232,22.1620,24.9499,24.8745,25.1279,21.6697,25.1300,21.5356,21.9819,21.9865,24.3262,25.2328,21.6891,25.6575,25.8276,25.8353,25.7286,25.4450,25.8230,25.7306,25.8603,25.8373,25.8161,25.4304,23.3652,22.9573,23.0282,0.0000,23.7291,23.1807,23.7291,22.8439,22.9352,23.1954,23.5017,23.9611,26.2236,23.1426,23.9455,23.9425,23.9807,23.6886,22.9577,25.5109,22.8271,23.6884,21.9721
10.0000,23.1371,23.0072,23.0524,22.5422,21.8866,21.6055,21.4655,23.9939,23.1774,24.8604,24.0126,24.6174,23.3155,22.5272,22.2594,21.9762,23.5007,23.3734,23.7603,22.7393,22.0040,21.2577,21.5980,22.2398,21.5968,21.9410,22.0152,22.6948,25.9098,22.9817,23.1016,23.1639,26.2741,22.9780,22.9681,24.3504,23.1514,22.6088,23.1258,23.1800,24.0256,23.1088,24.0494,24.1017,26.6137,22.9797,25.1731,25.0722,21.7823,24.6902,24.0587,23.7852,25.3584,24.8406,24.8818,23.9393,23.3086,24.5778,22.6681,24.8801,24.8588,24.8906,24.5573,24.6003,24.4667,24.7720,24.7971,25.3561,25.0080,25.0979,25.9095,25.1318,24.8120,24.8625,23.3431,22.7626,23.1804,25.9563,24.9531,22.6892,22.6978,23.4960,23.1570,23.1780,23.2120,23.2214,23.2444,23.2135,23.0740,24.0917,23.2945,23.1194,23.1470,22.9814,22.8913,23.2342,23.3439,22.7047,0.0000,24.0111,24.3176,23.1831,22.2807,22.8116,23.6836,23.6594,24.3617,24.6671,24.8064,22.5047,23.3880,25.8050,24.8266,23.5436,21.3606,20.7509,23.1989,22.6307,23.0485,23.9574,25.0368,23.1899,23.2218,22.9362,22.8560,23.1497,24.8396,24.6049,22.6945,22.7004,22.9486,22.1296,20.3307,23.6955,23.1022,23.1966,23.1999,23.2448,23.2713,23.0663,21.1664,21.3540,22.6627,22.4566,25.0273,22.3352,22.6229,22.2671,24.5625,24.7554,24.8016,24.9793,24.4637,23.0724,23.6715,21.6726,22.5896,22.3939,23.0682,22.9790,24.7285,0.0000,24.1925,22.5487,24.0859,24.2371,22.9961,22.9755,24.9840,23.4863,23.3000,22.6879,20.9510,23.8225,20.9798,22.4309,22.6291,23.4184,25.5010,25.7194,26.2806,23.8117,22.0545,24.5565,24.4842,24.7157,21.4246,24.7365,21.4727,21.9296,21.9423,24.3904,25.3260,21.6435,25.2071,25.3444,25.3516,25.2458,24.9246,25.3402,25.2636,25.3964,25.3538,25.3306,24.9561,23.2945,22.8915,22.9791,0.0000,23.5454,23.1385,23.5455,22.7789,22.8710,23.1241,23.3706,23.7271,26.2412,23.1014,23.6890,23.6831,23.7209,23.5114,22.9057,24.5803,22.6988,23.5113,21.9310
